id,order_id,reason_for_delay
109,42870,смарт
110,16826,перенос курьером доставки
111,44195,получатель не отвечает.
112,43292,смарт
113,43712,смарт
114,42484,абонент не отвечает
115,43748,смарт
116,13365,КЛИЕНТ ГРУЗ ПОЛУЧИЛ 16.02.2024
117,45363,с-з
118,23509,получатель не отвечает  отправили СЗ
119,26584,клиент заберет груз в ближайшее время
120,42884,Недозвон до клиента
121,43718,Коллеги  добрый день  груз поступит не ранее июля  навигация еще не закрыта.
122,16128,им дд
123,20167,неверный номер
124,42467,превышает 200Евро надо оплатит налог те которые не превышает 200Евро просьба отправить на почту инвойс <cckz.cdek@gmail.com> кто самостоятельно не сможет прикрепляю номер +77077180863
125,43715,получатель не отвечает на звонок 
126,40334,не отвечает
127,25306,Заберет
128,46002,Недоступен
129,13359,КЛИЕНТ ГРУЗ ПОЛУЧИЛ 16.02.2024
130,43316,смарт
131,42867,отправили смс
132,36357,груз движется по тс согласно року
133,14724,КЛИЕНТ ГРУЗ ПОЛУЧИЛ 16.02.2024
134,42496,21 числа 
135,44193,получатель отказался забирать посылки
303,7084,КЛИЕНТ ГРУЗ ПОЛУЧИЛ 16.02.2024
304,14505,Заберет 15.04
305,32592,Невозможно связаться с клиентом
306,2717,Отправка по ТС 7.02
307,29622,Возврат от слов получателя
308,11739,Неудачная попытка вручения
309,39697,выяснение статуса с од
310,13818,отправлен  возврат по накладной 1535124472.
311,30204,Коллеги  добрый день  груз поступит не ранее июля  навигация еще не закрыта.
312,25762,Клиент принес груз позже положенного времени подачи заявки на курьера по тарифу С-Э
313,4698,Коллеги  груз должен прилететь в МСК 06.02. податься на ТО 06-07.02
314,30219,Коллеги  добрый день  груз поступит не ранее июля  навигация еще не закрыта.
315,33241,Коллеги  добрый день  груз поступит не ранее июля  навигация еще не закрыта.
316,16595,Сведения о паспортных данных некорректны  либо паспорт не действителен (предоставить скан паспорта)
317,35631,Вручено 13 июня
318,30194,не взял трубку
319,1684, груза в офисе нет  получатель не берет трубку.
320,19269,упаковка повреждена. возможна частичная потеря груза. фото акт в сканах.
321,32659,заказы передаются в им без перемещения на пвз по пят
322,29662,Вручено 2 места
323,5324,заберут 15 02
324,5867,Консолидация CN/82241/5886085 отправлена с Новосибирска 31.01 без добавления пломбы в отгрузку
325,30231,Коллеги  добрый день  груз поступит не ранее июля  так как навигация еще закрыта.
326,2357,отправка по новой накладной 1513215038. инфо из сз
327,40612,Ждем прибытье груза в конечный офис
328,14466,Клиент заберет груз 15.03 2024
329,39309,груз забрали. ДД не могу проставить
330,32027,смарт
331,30224,Коллеги  добрый день  груз поступит не ранее июля  навигация еще не закрыта.
332,36225,вручено 31.05 Набиуллина
333,38896,Возврат по запросу ИМ.
334,9652,забирают по вторникам  четвергам и воскресеньям 
335,40559,клиент груз забрал во время сбоя 
336,17217,Клиент не отвечает на звонки  15.03.2024 добавим в кк.
337,8264,КЛИЕНТ ГРУЗ ПОЛУЧИЛ 16.02.2024
338,36190,сз по 10000471354
339,37304,Возврат по запросу ИМ.
340,28098,Груз отправлен партнерами EMS почтой России в г-получателя. Трек- номер для отслеживания можно посмотреть в разделе 3pl или в истории заказа в основной информации
341,16582,Опасный груз
342,43183,Заберет 01.07
343,32061,не отвечает 
344,32664,Возврат
345,31415,Планируемая дата встречи: 28.05.2024
346,20580,смена города 
347,40186,31 05 24 18:25
348,28627,получатель не берет трубку.
349,14487,город получателя забирает груз с СЦ самостоятельно
350,39323,10007897913  номер возвратной накладной
351,2699, груза в офисе нет  получатель не берет трубку.
352,40127,Возврат дубля по 10007959760
353,3035,КЛИЕНТ ГРУЗ ПОЛУЧИЛ 16.02.2024
354,33230,Коллеги  добрый день  груз поступит не ранее июля  так как навигация еще закрыта.
355,2002,Транзит во Внуково
356,40130,оформлена претензия
357,37886,№ ВВ RS/1753/2 от 06.06.2024 
358,39322,Не отгружался ИМ https://secure.usedesk.ru/tickets/188299412 
359,7652,Машина сгорела из-за ДТП на трассе в ночь с 26 на 27.01. Все посылки утеряны. 29.01 зарегистрируем претензии  до 31.01 оповестим всех клиентов.
360,30257,сбросила трубку 
361,37343,сз по 10000471354
362,42751,Получатель не берет трубку.
363,13838,См с-з по накладной 1526964641
364,17970,Клиент желает получить груз на ПВЗ на Рыленкова
365,27608,Расформирован для хранения на складе СДЭК / конечная причина
366,28053,Расход. Инвентаризация
367,1667,Получателю не удобно получить сегодня груз. Доставка на 12.01 
368,15141,Не поступал 
369,36781,КТ:9  инфо в сз 
370,7068,КЛИЕНТ ГРУЗ ПОЛУЧИЛ 16.02.2024
371,30223,Коллеги  добрый день  груз поступит не ранее июля  навигация еще не закрыта.
372,5870,КЛИЕНТ ГРУЗ ПОЛУЧИЛ 16.02.2024
373,13107,Дороги закрыты из-за погодных условий  планируемая дата 29.02.24
374,31435,смарт
375,7117,Не поступал 
376,30820,запрос
377,34435,Возврат по запросу ИМ.
378,33787,Из-за маленького борта самолета и загруженностью рейса  груз пришел не весь.
379,3385,заберет 06.02
380,13123,получатель придет 15.03
381,38353,х02  не берет трубку
382,26990,https://secure.usedesk.ru/tickets/182461949
383,30183,абонент бросает трубки
384,36194,Посылка отстранена от авиаперевозки  во вложении опасный груз.
385,4115,КЛИЕНТ ГРУЗ ПОЛУЧИЛ 16.02.2024
386,30244,Коллеги  добрый день  груз поступит не ранее июля  навигация еще не закрыта.
387,8991,Добрый день Коллеги ! связи ухудшений погоды срок доставки увеличивается 
388,38895,+
389,37319,Недозвон  прозвон в течении дня
390,28604,сегодня завтра заберут.
391,30802,до 20 
392,30185,Отгружено по ТС в консолидации CN/81123/24507240  отгрузка SH/81123/24727223 без отображения в системе. Ожидайте. https://skrinshoter.ru/vPSGplg69iH?a
393,3082,Груз отправлен от ЕКБ  дорога перекрыта задержка тс. 
394,30260,Истек Сх. 
395,2055,не получил
396,35609,https://secure.usedesk.ru/tickets/191839441
397,2696,Ожидаем прибытие ТС в течении суток  полутора. Задержка связана с погодными условиями.
398,29638,У груза сформировалась ВВ  но груз по факту к нам на склад не поступал  в статусе создан.
399,9643,Заказ передан партнерам для доставки в отдаленные районы. Доставка получателю в течение недели до 17.03. ДД проставляем после предоставления партнером накладной с подписью получателя. 
400,40155,Груз поступил после уезда курьера  отправка планируется на 15.05
401,23462,Получатель не отвечает 
402,29144,ПОЛУЧАТЕЛЬ КАТЕГОРИЧЕСКИ ОТКАЗАЛСЯ ОТ ГРУЗА 
403,39284,Хранится в отделении до 17 июня включительно
404,30839,Коллеги  добрый день  груз поступит не ранее июля  так как навигация еще закрыта.
405,17940,Отправлено в оф.-получатель
406,33209,Коллеги  добрый день  груз поступит не ранее июля  так как навигация еще закрыта.
407,29633,Отгружено по ТС в консолидации CN/81123/24507240  отгрузка SH/81123/24727223 без отображения в системе. Ожидайте. https://skrinshoter.ru/vPSGplg69iH?a
408,36839,Во вложении опасный груз.
409,30227,Коллеги  добрый день  груз поступит не ранее июля  навигация еще не закрыта.
410,18607,отправлен по ТС
411,29656,ДД от ИМ 
412,8983,КЛИЕНТ ГРУЗ ПОЛУЧИЛ 16.02.2024
413,15871,Отправитель отправил не тот груз  проставила ДД
414,36774,не вручено отправление  претензия  во вложении были саженцы 
415,33236,"	международная отправка  таможенное оформление   Есть ЗМ Задорина Елена"
416,5285,Ожидает в отделении с 22.02
417,1316,По последней имеющейся информации груз должен выехать в сторону Москвы 01.03
418,32065,ТЕЛЕФОН НЕ ОТВЕЧАЕТ
419,39701,-
420,30238,Ошибочное сканирование сотрудником.
421,17250,кт1  сз
422,32597,Получатель забирать посылку не будет.
423,9684,заберут до 15 03 24
424,33239,Посылка отстранена от авиаперевозки  во вложении опасный груз.
425,35627,Получатель на звонки не отвечает
426,32066,получатель не берет трубку 
427,29086,https://secure.usedesk.ru/tickets/185639313
428,40586,31 05 24 18:25
429,5275,КЛИЕНТ ГРУЗ ПОЛУЧИЛ 16.02.2024
430,14517,+
431,30842,Отмена по запросу Авито  возврат продавцу по вн
432,44395,Заберут до 29.06 вкл.
433,40546,Отмена по запросу Авито
434,30222,Посылка отстранена от авиаперевозки. Во вложении опасный груз  отправка авиа запрещена.
435,27001,СКЛАД ОТГРУЗИЛ ПОСЫЛКИ НЕ НАШ ПВЗ. ОЖИДАЕМ ДОСТАВКУ НА БЕЛИСНКОГО 232.
436,30188,Расход. Инвентаризация
437,39762,https://secure.usedesk.ru/tickets/191633620
438,32598,Ошибка при формировании возврата  подана задача
439,30799,Коллеги  добрый день  груз поступит не ранее июля  навигация еще не закрыта.
440,30803,Отправлен прозвон  ждем 13.05
441,8996,земля
442,37370,отправлен по ТС
443,31417,Коллеги  добрый день  груз поступит не ранее июля  навигация еще не закрыта.
444,7732,Неудачная попытка вручения
445,30258,Груз выпущен  ожидаем отгрузку со склада
446,8330,КЛИЕНТ ГРУЗ ПОЛУЧИЛ 16.02.2024
447,1373,с/з
448,28569,КТ7 26.04.2024 18:29 Доставлено +791****4709 -СМС получателю о поступлении заказа на ПВЗ 
449,22900,https://secure.usedesk.ru/tickets/184786328
450,34422,приход от 07 06 24 - корректировка кт и инвентаризации
451,3061,Транзит во Внуково
452,33240,Посылка отстранена от авиаперевозки  во вложении опасный груз.
453,5314,КЛИЕНТ ГРУЗ ПОЛУЧИЛ 16.02.2024
454,26971,Перенос доставки по желанию клиента на 3 дня.
455,38376,Заберет сегодня 15.06
456,29625,https://secure.usedesk.ru/tickets/187182926 вручен
457,38333,самозабор 30.06
458,9636,заберет 13.03
459,30216,Коллеги  добрый день  груз поступит не ранее июля  так как навигация еще закрыта.
460,33819,Не отгружался ИМ https://secure.usedesk.ru/tickets/188299412 
461,17253,не дозвон
462,6520,+
463,5318,"Уведомляет вас о том  что в связи с ухудшением погодных условий  возможны задержки по срокам доставки.	"
464,31998,Планируемая дата встречи во Владивостоке: 23.04.2024
465,4118,Коллеги  отгрузку ожидаем 20.03
466,6481,заберут
467,28629,https://secure.usedesk.ru/tickets/186127546
468,30795,смарт
469,37836,инфо в с-з
470,32016,смарт
471,35025,Возвращён в ИМ в Акте заявлен от 03.07.2024 
472,30809,клд ОЭЗ  перемещение на сц клд 24.05
473,1333,КЛИЕНТ ГРУЗ ПОЛУЧИЛ 16.02.2024
474,32645,утиль почта
475,29666,Коллеги  добрый день  груз поступит не ранее июля  навигация еще не закрыта.
476,35582,+
477,6525,с-з
478,12389,груз в поиске
479,30215,Коллеги  добрый день  груз поступит не ранее июля  навигация еще не закрыта.
480,20631,Поздний приход на склад по тарифу СЭ отправка 13.03
481,1309,КЛИЕНТ ГРУЗ ПОЛУЧИЛ 16.02.2024
482,17903,сз в цфо
483,29627,Подана задача № 25682
484,30871,смарт
485,33858,ПОЛУЧАТЕЛЬ ПРОСИТ ПРОДЛИТЬ СРОК ХРАНЕНИЯ ДО 30.07.24
486,5851,КЛИЕНТ ГРУЗ ПОЛУЧИЛ 16.02.2024
487,30217,превышает 200Евро надо оплатит налог те которые не превышает 200Евро просьба отправить на почту инвойс <cckz.cdek@gmail.com> кто самостоятельно не сможет прикрепляю номер +77077180863
488,5848,КЛИЕНТ ГРУЗ ПОЛУЧИЛ 16.02.2024
489,1996,Пломба консолидации CN/250/7918646  снова физически сканируется в Екатеринбурге 26.01. Вероятно консолидация из-за путаницы транспортных ярлыков была снова отправлена в Екатеринбург. Ожидаем поступление в Новосибирск до 31.01 включительно.
490,6502,Опоздание связано с погодными условиями и очередью на границе. Ориентировочное время прибытия 26.01.24.
491,10370,Клиент связался с ПВЗ  сегоня заберет
492,37851,Клиент не отвечает
493,31470,Коллеги  добрый день  груз поступит не ранее июля  навигация еще не закрыта.
494,37356,-
495,31395,Планируемая дата встречи: 12.06.2024
496,15221,телефон недоступен  сз в цфо
497,11767,Из за 8 марта  груза не прилетели  летели только цветы  сейчас направление перегружено  задержки до 1 недели!
498,3774, груза в офисе нет  получатель не берет трубку.
499,22376,+
500,30866,смарт
501,37821,Офис в Забайкальске закрыт.
502,29618,дд по запросу ИМ
503,11083,груз заберут 13.03
504,28107,13.05 заберут 
505,10319,перевозчик привозит груз частями  CN/81123/22016032 на склад Улан-Удэ Мокрова 28а не поступала
506,42692,заберут до 29.06 включительно
507,29648,https://secure.usedesk.ru/tickets/185240039#
508,35020,+
509,4652,лрдлр
510,41453,Выдача DE/3028195/107138 от 29.06.2024 скан 10005975801
511,1324,По последней имеющейся информации груз должен выехать в сторону Москвы 01.03
512,2323,"Уведомляет вас о том  что в связи с ухудшением погодных условий  возможны задержки по срокам доставки.	"
513,5869,КЛИЕНТ ГРУЗ ПОЛУЧИЛ 16.02.2024
514,17954,получатель не отвечает  т.к. смс оповещение о прибытии груза на ПВЗ было отправлено  но заказ не забрали  проставляем не вручен
515,5917,КЛИЕНТ ГРУЗ ПОЛУЧИЛ 16.02.2024
516,29637,ошибочное сканирование
517,32026,смарт
518,27595,вручен
519,16554,груз получен клиентом 7.03
520,30867,смарт
521,36251,Хранение за счёт СДЭК
522,16556,+
523,28108,https://secure.usedesk.ru/tickets/186246237
524,32047,смарт
525,30221,задержки отправок из Калининграда  в связи с понижением стоимости безпошлинного ввоза и временной отмены паромной переправы Ориентировочные сроки отправки в течении 2-3 месяцев
526,30816,Планируемая дата встречи: 28.05.2024
527,5298,КЛИЕНТ ГРУЗ ПОЛУЧИЛ 16.02.2024
528,37885,запрос на почту ЦФО
529,41859,Дата доставки по услуге
530,33227,Коллеги  добрый день  груз поступит не ранее июля  навигация еще не закрыта.
531,15902,Коллеги  у перевозчика имеются задержки в бронировании рейсов. Груз должен приземлиться во Внуково на ТО 10-12.03 Статусы по накладной должны обновиться 12-13.03
532,30220,Коллеги  добрый день  груз поступит не ранее июля  навигация еще не закрыта.
533,42762,Клиент обещал забрать сам
534,2036,КЛИЕНТ ГРУЗ ПОЛУЧИЛ 16.02.2024
535,31427,смарт
536,32010,груз заберет 25.05.2024
537,38323,запрос на исключение из КТ9  ДД неверное  груз вручен
538,36824,доставка на 07.06  получатель за границей
539,14482,Коллеги  по информации партия была в Пскове на 10.03. Ожидаем обновление статусов со дня на день
540,28609,https://secure.usedesk.ru/tickets/185325456
541,31436,смарт
542,18622,-
543,29629,по сз осуществлена повторная отправка ЕМС
544,33228,"Коллеги  груз находится на СВХ брокера Шереметьево карго по итогам файла инвентаризации от 25.06.24. Просьба при открытии СЗ указывать на данный факт. В случае сканирования после 25.06  информация по накладной будет не актуальна.	"
545,30872,10010322688 переадресация
546,37859,превышает 200Евро надо оплатит налог те которые не превышает 200Евро просьба отправить на почту инвойс <cckz.cdek@gmail.com> кто самостоятельно не сможет прикрепляю номер +77077180863
547,32069,"ВН	1556367947"
669,18505,КТ7: ДД  возврат  истек срок хранения
670,13005,ЗАПРОС НА СКЛАД В СЗ
671,26897,Не было связи с перехватчиком. Отправили первой газелью
672,8239,КЛИЕНТ ГРУЗ ПОЛУЧИЛ 16.02.2024
673,31389,смарт
674,18499,+
675,36730,Заберет 30.06
676,2239,+
677,17171,ФТС запросила дополнительные данные. Комментарий брокера: Не представлены документы и сведения (скан паспорта  ИНН)
678,36091,Запрос ЗМ. Груз поврежден 
679,32540,трубку не берут 
680,30170,Отгружено по ТС в консолидации CN/81123/24507240  отгрузка SH/81123/24727223 без отображения в системе. Ожидайте. https://skrinshoter.ru/vPSGplg69iH?a
681,3656,Получателю не удобно получить сегодня груз. Доставка на 12.01 
682,29500,в сз информация: отправить по  накладной 10007324094. 
683,31308,смарт
684,1957,сз на полковника курочкина
685,10944,Не поступил
686,2962,поступило 2/2
687,14441,Коллеги  у перевозчика имеются задержки в бронировании рейсов. Груз должен приземлиться во Внуково на ТО 10-12.03 Статусы по накладной должны обновиться 12-13.03
688,15805,ФТС запросила дополнительные данные. Комментарий брокера: Не предоставлены документы и сведения (скан паспорта  ИНН)
689,33706,международная отправка  таможенное оформление   Есть ЗМ Задорина Елена
690,27980,заберет
691,33700,https://secure.usedesk.ru/tickets/194455089 утильь
692,15808,Груз будет передан на доставку почте России. Почтовый трек номер отслеживания EF449058174RU
693,36765,ошибочный приход
694,35495,Опасный груз
695,7587,КЛИЕНТ ГРУЗ ПОЛУЧИЛ 16.02.2024
696,31334,Планируемая дата встречи: 12.06.2024
697,35489,Опасный груз
698,28508,https://secure.usedesk.ru/tickets/187591209
699,18530,недозвон
700,5812,заберет 16.02
701,16438,запрос на склад
702,34917,Опасный груз
703,33712,Коллеги  добрый день  груз поступит не ранее июля  навигация еще закрыта.
704,12350,отслеживание доставки на сайте https://post-master.ru/status/ по номеру накладной
705,35545,7КТ. Сз в офис
706,14402,Коллеги  у перевозчика имеются задержки в бронировании рейсов. Груз должен приземлиться во Внуково на ТО 06.03. Статусы по накладной должны обновиться 06-08.03
707,29576,трубку не берет
708,31359,смарт
709,30167,Коллеги  добрый день  груз поступит не ранее июля  навигация еще не закрыта.
710,33722,Вложение отправлено таможней на экспертизу
711,6967,Ожидает в отделении с 01.03
712,1958,не отв 
713,26270,груз не привезли в Тогучин
714,30141,Коллеги  добрый день  груз поступит не ранее июля  навигация еще не закрыта.
715,26862,расход 11 кт
716,36083,КТ6 На приход поставлен
717,8936,заберет 16.03
718,30757,Добрый день  коллеги! Груз был отправлен в составе консолидации CN/81123/25069464 под пломбой 8877979203  номер отгрузки SH/81123/25097694. Планируемая дата встречи: 03.06.2024 07:00. Видео по ссылке: https://skrinshoter.ru/vPb816d9UJV .
719,4566,КЛИЕНТ ГРУЗ ПОЛУЧИЛ 16.02.2024
720,12315,https://corp.cdek.ru/browse/IL-32783
721,1215,Транзит во Внуково
722,7594,КЛИЕНТ ГРУЗ ПОЛУЧИЛ 16.02.2024
723,34919,Сортировка
724,30180,клиент заберет 
725,26918,https://secure.usedesk.ru/tickets/184238786
726,34920,Во вложении опасный груз.
727,2935,Опоздание Авто на 17 часов. Перекрытие трассы 
728,30148,Коллеги  добрый день  груз поступит не ранее июля  так как навигация еще закрыта.
729,4013,Запрещено к перевозке согласно 11 пакету санкций
730,29522,https://secure.usedesk.ru/tickets/187858349
731,33142,"Коллеги  груз находится на СВХ Шереметьево-Карго по итогам файла инвентаризации от 28.04.24. Просьба при открытии СЗ указывать на данный факт. В случае сканирования после 28.04  информация будет не актуальна.	"
732,30168,Во вложении опасный груз.
733,30143,Коллеги  добрый день  груз поступит не ранее июля  так как навигация еще закрыта.
734,28524,https://secure.usedesk.ru/tickets/185408091
735,15054,Груз отправлен согласно ТС  выдуться поиски. Написаны СЗ. 
736,5235,Транзит во Внуково
737,17198,Заберет сегодня
738,32571,Коллеги  добрый день  груз поступит не ранее июля  навигация еще не закрыта.
739,11660,г.получателя забирает груз самостоятельно 
740,30116,Статусы прихода на терминале Внуково карго проставлены по документам.
741,1247,По инфор-ции из С-З заказ вручен
742,5792,По последней имеющейся информации груз должен выехать в сторону Москвы 01.03
743,33711,Коллеги  добрый день  груз поступит не ранее июля  навигация еще закрыта.
744,35532,Опасный груз
745,17879,изъятие возможно только при доставки других грузов  фактически доставок на данный момент в указанный постамат нет  ждем приход груза  и осуществим изъятие 
746,8923,не берет трубку
747,11612,ПВЗ забирает груз самостоятельно  раз в неделю. Плановая отправка по ТС 13.03
748,15065,Истек сх  получатель не отвечает
749,30723,Коллеги  добрый день  груз поступит не ранее июля  навигация еще не закрыта.
750,12335,инфо в сз
751,15108,Запрос на СЦ Жуковский
752,36147,не отвечает
753,33709,Коллеги  добрый день  груз поступит не ранее июля  навигация еще закрыта.
754,33764,Опасный груз
755,5238,По последней имеющейся информации машина должна выехать в сторону Москвы 01.03
756,30135,заявка по пп
757,6427,КЛИЕНТ ГРУЗ ПОЛУЧИЛ 16.02.2024
758,9583,КТ:1 ожидали термоящик  отправка 07.02
759,33145,Коллеги  добрый день  груз поступит не ранее июля  навигация еще закрыта.
760,36125,ДД по запросу ИМ
761,2250,КЛИЕНТ ГРУЗ ПОЛУЧИЛ 16.02.2024
762,15750,заказ отменен Авито
763,31904,Отгружено по ТС в консолидации CN/81123/24507240  отгрузка SH/81123/24727223 без отображения в системе. Ожидайте. https://skrinshoter.ru/vPSGplg69iH?a
764,29555,https://secure.usedesk.ru/tickets/186139289 смена ДД по запросу ИМ
765,1269,КЛИЕНТ ГРУЗ ПОЛУЧИЛ 16.02.2024
766,32511,смарт
767,36731,груз был отправлен в ИМ по накладной 10002804028
768,6989,Транзит во Внуково
769,1241,Перекрытие дороги  задержка тс. 
770,29564,https://secure.usedesk.ru/tickets/186119977
771,15828,получатель за грузом придет как выпишут из больницы  просьба на возврат не отправлять
772,31957,30.04.2024 8:09
773,8246,Агинское забирает груз самостоятельно  отправка по ТС 21.02
774,29569,Вручено получателю
775,36159,КТ7
776,31328,Груз фактически на складе.
777,27454,https://secure.usedesk.ru/tickets/191888105
778,23386,НЕ БЕРЕТ ТРУБКУ
779,24486,Отмена по запросу авито
780,30149,Коллеги  добрый день  груз поступит не ранее июля  так как навигация еще закрыта.
781,16479,не отвечает
782,15795,Вылет в Баку план 10.03
783,28477,получатель не отвечает
784,29516,https://secure.usedesk.ru/tickets/186941929
785,13060,Доставлено
786,30166,запрос цфо
787,27484,Квитанция выставлена таможенным органом. Необходимо оплатить пошлину
788,27475,утеря
789,1267,Клиент заберет груз до 14.02
790,8229,Коллеги груз должен прибыть на ТО Бобровники приблизительно 09-12.02
791,15758,Коллеги  у перевозчика имеются задержки в бронировании рейсов. Груз должен приземлиться во Внуково на ТО 10-12.03 Статусы по накладной должны обновиться 12-13.03
792,31986,смарт
